Learning Path ID,Learning Path,Learning Path Summary,Course ID,Course Name,Course Summary,Price,,Level,Total Jam Belajar,Rating,Jumlah Enrollment,Jumlah Modul/Tutorial
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,0,Dasar,50,4.84,67917,132
,,,51,Belajar Membuat Aplikasi Android untuk Pemula,"Buat aplikasi pertamamu pada Android Studio dengan mempelajari dasar Activity, Intent, View & ViewGroup, Style & Theme sampai RecyclerView.",Berbayar,1,Pemula,60,4.87,124238,49
,,,14,Belajar Fundamental Aplikasi Android,"Pelajari skill Android dengan kurikulum terlengkap yang dibutuhkan perusahaan. Mulai dari UI/UX, background process, API sampai database.",Berbayar,4,Menengah,140,4.84,43198,107
,,,352,Belajar Pengembangan Aplikasi Android Intermediate,"Tingkatkan pengalaman pengguna dengan mempelajari Custom View, Animation, Localization, Media, Location, Testing, dan Advanced Database.",Berbayar,2,Mahir,150,4.82,8262,115
,,,169,Belajar Prinsip Pemrograman SOLID,Pelajari kelima prinsip desain yang merupakan pedoman untuk rancangan kode yang baik pada pemrograman berorientasi objek (OOP).,Gratis,4,Menengah,15,4.87,42090,41
,,,165,Menjadi Android Developer Expert,"Saatnya menjadi Android Expert dengan belajar Clean Architecture, Reactive, Dependency Injection, Modularization, Performance, dan Security.",Berbayar,3,Profesional,90,4.79,6244,86
41,Back-End Developer JavaScript,Kurikulum disusun oleh Dicoding bersama AWS beserta pelaku industri Back-End Development. Siswa dipersiapkan untuk menjadi Back-End Developer dengan JavaScript sesuai kebutuhan industri.,251,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),"Pelajari materi dasar Cloud dengan menggunakan AWS, dari konsep cloud computing, hingga cara membangun arsitektur yang baik.",Berbayar,0,Dasar,15,4.81,193221,87
,,,256,Belajar Dasar Pemrograman JavaScript,"Pelajari dasar JavaScript, dari fundamental, sintaks dan fitur ES6, hingga konsep automation test menggunakan framework populer.",Berbayar,0,Dasar,46,4.86,187845,111
,,,261,Belajar Back-End Pemula dengan JavaScript,"Pelajari dasar dalam membangun RESTful API, dari HTTP server, routing, hingga membangun Back-End untuk aplikasi yang nyata.",Berbayar,1,Pemula,45,4.9,120245,114
,,,266,Architecting on AWS (Membangun Arsitektur Cloud di AWS),"Pelajari cara membangun arsitektur cloud di AWS, dari yang sederhana dengan Amazon S3 hingga yang canggih dengan teknologi serverless.",Berbayar,4,Menengah,40,4.84,14087,170
,,,610,Menjadi Node.js Application Developer,Pelajari core module Node.js secara mendalam agar mampu membangun aplikasi untuk berbagai tujuan dengan menggunakan JavaScript.,Berbayar,4,Menengah,57,4.8,957,155
,,,271,Belajar Fundamental Back-End dengan JavaScript,"Pelajari teknologi dalam membangun RESTful API yang canggih seperti Database, Storage, hingga Authentication dan Authorization.",Berbayar,4,Menengah,90,4.9,6691,189
,,,276,Menjadi Back-End Developer Expert dengan JavaScript,"Pelajari teknik Automation Testing, Clean Architecture, CI/CD, Security, dan Scalability dalam membangun RESTful API berskala industri.",Berbayar,2,Mahir,82,4.9,3640,116
60,Data Scientist,Kurikulum lengkap yang didesain oleh tim expert Dicoding bersama para praktisi industri. Siswa dipersiapkan untuk menjadi seorang Data Scientist berstandar global.,615,Belajar Dasar Data Science,Pelajari dasar data science mulai dari pengenalan data hingga membuat portofolio untuk mengantarkan Anda menjadi seorang data scientist.,Berbayar,0,Dasar,11,4.83,50848,50
,,,600,Belajar Dasar Structured Query Language (SQL),Pelajari berbagai konsep dasar structured query language (SQL) mulai dari pengenalan data dan basis data hingga berlatih basic query.,Berbayar,0,Dasar,11,4.87,68334,44
,,,86,Memulai Pemrograman dengan Python,Pelajari dasar pemrograman Python hingga library populer yang menjadi landasan tren industri seperti data science dan machine learning.,Berbayar,0,Dasar,35,4.8,139487,91
,,,555,Belajar Analisis Data dengan Python,"Pelajari berbagai konsep dasar analisis data beserta tahapannya, dilengkapi pembahasan studi kasus menggunakan bahasa pemrograman Python. ",Berbayar,1,Pemula,30,4.81,52478,61
,,,184,Belajar Machine Learning untuk Pemula,"Pelajari dasar machine learning dengan fokus materi supervised learning, unsupervised learning, hingga teknik meningkatkan performa model.",Berbayar,1,Pemula,75,4.83,115723,117
,,,185,Belajar Pengembangan Machine Learning,"Pelajari berbagai penerapan deep learning mulai dari klasifikasi gambar dan teks, time series, sistem rekomendasi, hingga Generative AI.",Berbayar,4,Menengah,90,4.84,9459,131
,,,590,Belajar Penerapan Data Science,"Pelajari tools, teknik, dan penerapan data science melalui berbagai studi kasus yang umum dijumpai di industri.",Berbayar,2,Mahir,40,4.86,948,72
53,DevOps Engineer,Kurikulum lengkap yang didesain oleh tim expert Dicoding bersama para praktisi industri. Siswa dipersiapkan untuk menjadi seorang DevOps Engineer berstandar global.,382,Belajar Dasar-Dasar DevOps,"Pelajari kultur, praktik, dan tools pada DevOps yang memungkinkan proses pengembangan aplikasi menjadi lebih cepat, efisien, dan aman.",Berbayar,0,Dasar,15,4.87,50929,38
,,,387,Belajar Jaringan Komputer untuk Pemula,"Telusuri teori dan praktik mengenai jaringan komputer, mulai dari dasar-dasar jaringan komputer hingga implementasi layanan jaringan di AWS.",Berbayar,1,Pemula,25,4.9,49297,62
,,,423,Menjadi Linux System Administrator,"Pelajari sistem operasi Linux secara mendalam, mulai dari perintah dasar, pemrograman shell, pengelolaan sistem, hingga container Linux.",Berbayar,4,Menengah,25,4.91,3342,64
,,,428,Belajar Implementasi CI/CD,Raih aplikasi yang berkualitas tinggi dengan mengimplementasikan CI/CD ke dalam siklus pengembangan aplikasimu.,Berbayar,4,Menengah,30,4.87,2773,64
,,,433,Belajar Membangun Arsitektur Microservices,"Asah dan uji keterampilanmu dalam membangun arsitektur microservices dengan mempraktikkan Container, Container Registry, dan Kubernetes.",Berbayar,2,Mahir,60,4.86,1598,94
22,Front-End Web Developer,Kurikulum disusun oleh Dicoding dan pelaku industri di bidang Web Development. Siswa dipersiapkan untuk menjadi Front-End Web Developer sesuai standar kebutuhan industri.,123,Belajar Dasar Pemrograman Web,Pelajari komponen-komponen dasar HTML dan CSS yang merupakan fondasi utama untuk menjadi front-end web developer.,Berbayar,0,Dasar,45,4.87,201224,131
,,,256,Belajar Dasar Pemrograman JavaScript,"Pelajari dasar JavaScript, dari fundamental, sintaks dan fitur ES6, hingga konsep automation test menggunakan framework populer.",Berbayar,0,Dasar,46,4.86,187845,111
,,,315,Belajar Membuat Front-End Web untuk Pemula,"Pelajari materi mengenai DOM manipulation, Event, dan Web Storage untuk meningkatkan fungsionalitas dan interaktifitas pada website Anda.",Berbayar,1,Pemula,45,4.87,121238,69
,,,163,Belajar Fundamental Front-End Web Development,"Pelajari sintaks ES6, Web Component, dan Build Tools dalam membangun website dengan teknik yang simple, reusable, dan optimized.",Berbayar,4,Menengah,80,4.88,29266,116
,,,565,Belajar Tools Front-End Web Intermediate,"Pelajari tools berstandar industri dengan Sass, Bootstrap, Lit, Axios, dan Firebase dalam membangun aplikasi web yang efisien dan powerful.",Berbayar,2,Mahir,65,4.85,2030,131
,,,219,Menjadi Front-End Web Developer Expert,"Pelajari teknik-teknik expert serta modern dalam membangun website yang optimal pada seluruh perangkat, terutama pada perangkat mobile.",Berbayar,3,Profesional,110,4.89,9233,216
52,Google Cloud Professional,Kurikulum didesain oleh Dicoding bersama Google dan para pelaku industri di bidang Cloud Computing. Siswa dipersiapkan untuk menjadi Google Cloud Professional sesuai kebutuhan industri.,337,Belajar Dasar Google Cloud,"Mengenal konsep, terminologi, dan layanan yang digunakan dalam teknologi cloud. Hingga cara meningkatkan nilai bisnis bersama Google Cloud.",Berbayar,0,Dasar,12,4.87,10612,78
,,,256,Belajar Dasar Pemrograman JavaScript,"Pelajari dasar JavaScript, dari fundamental, sintaks dan fitur ES6, hingga konsep automation test menggunakan framework populer.",Berbayar,0,Dasar,46,4.86,187845,111
,,,342,Belajar Membuat Aplikasi Back-End untuk Pemula dengan Google Cloud,"Belajar membuat RESTful API, dari HTTP server, routing, hingga membangun aplikasi Back-End dengan Google Cloud menggunakan Compute Engine.",Berbayar,1,Pemula,45,4.87,9104,108
,,,133,Menjadi Google Cloud Engineer,Pelajari konsep dan terminologi cloud computing beserta penjelasan berbagai layanan yang tersedia di Google Cloud.,Berbayar,4,Menengah,42,4.87,10340,85
,,,332,Menjadi Google Cloud Architect,"Pelajari cara membangun arsitektur cloud di Google Cloud, dari membuat virtual machine hingga membangun arsitektur yang highly available.",Berbayar,2,Mahir,35,4.88,3284,75
9,iOS Developer,Kurikulum disusun oleh Dicoding dan pelaku industri di bidang iOS Development. Siswa dipersiapkan untuk menjadi iOS Developer sesuai standar kebutuhan industri.,145,Memulai Pemrograman Dengan Swift,"Belajar bahasa Swift buat kamu yang ingin mempelajari konsep dasar pemrograman dalam mengembangkan aplikasi iOS, iPadOS, dan macOS.",Berbayar,0,Dasar,40,4.84,8327,95
,,,171,Belajar Membuat Aplikasi iOS untuk Pemula,Pelajari cara membuat aplikasi pertamamu dengan Xcode. Kelas ini mengajarkan dasar yang dibutuhkan mulai dari Controller sampai TableViews.,Berbayar,1,Pemula,40,4.84,3596,74
,,,202,Belajar Fundamental Aplikasi iOS,"Pelajari komponen fundamental iOS berdasarkan teknik yang digunakan industri mulai dari App Design, SwiftUI, Networking, sampai Database.",Berbayar,4,Menengah,70,4.83,1416,127
,,,169,Belajar Prinsip Pemrograman SOLID,Pelajari kelima prinsip desain yang merupakan pedoman untuk rancangan kode yang baik pada pemrograman berorientasi objek (OOP).,Gratis,4,Menengah,15,4.87,42090,41
,,,209,Menjadi iOS Developer Expert,"Saatnya jadi iOS Expert dengan belajar Clean Code, Design Pattern, Clean Architecture, Reactive Programming, DI, Modularization, dan TDD.",Berbayar,2,Mahir,70,4.84,1036,126
30,Machine Learning Engineer,Kurikulum lengkap yang disusun oleh Dicoding bersama IBM beserta pelaku industri. Siswa dipersiapkan untuk menjadi Machine Learning Engineer sesuai standar kebutuhan industri.,177,Belajar Dasar Visualisasi Data,Pelajari teknik dasar untuk representasi hasil secara visual sehingga dapat menceritakan dan mempresentasikan data secara efektif.,Berbayar,0,Dasar,16,4.86,101829,50
,,,86,Memulai Pemrograman dengan Python,Pelajari dasar pemrograman Python hingga library populer yang menjadi landasan tren industri seperti data science dan machine learning.,Berbayar,0,Dasar,35,4.8,139487,91
,,,184,Belajar Machine Learning untuk Pemula,"Pelajari dasar machine learning dengan fokus materi supervised learning, unsupervised learning, hingga teknik meningkatkan performa model.",Berbayar,1,Pemula,75,4.83,115723,117
,,,185,Belajar Pengembangan Machine Learning,"Pelajari berbagai penerapan deep learning mulai dari klasifikasi gambar dan teks, time series, sistem rekomendasi, hingga Generative AI.",Berbayar,4,Menengah,90,4.84,9459,131
,,,319,Machine Learning Terapan,"Pelajari penerapan machine learning dengan real-world projects mulai dari predictive analytics, sentiment analysis, dan sistem rekomendasi.",Berbayar,2,Mahir,40,4.88,5248,109
,,,443,Machine Learning Operations (MLOps),Pelajari proses pengembangan dan pengoperasian sistem machine learning dalam lingkup produksi dengan menerapkan berbagai prinsip MLOps.,Berbayar,2,Mahir,45,4.62,3052,72
21,Multi-Platform App Developer,Kurikulum disusun oleh Dicoding bersama Google beserta pelaku industri Multi-Platform App Development. Siswa dipersiapkan untuk menjadi Multi-Platform App Developer sesuai standar kebutuhan industri.,191,Memulai Pemrograman dengan Dart,Belajar bahasa Dart sebagai fondasi dasar untuk mengembangkan aplikasi di berbagai platform menggunakan Flutter.,Berbayar,0,Dasar,20,4.84,29434,81
,,,159,Belajar Membuat Aplikasi Flutter untuk Pemula,Buat aplikasi pertamamu dengan Flutter. Pelajari konsep dasar layouting dengan widget dan menjalankan aplikasi di platform mobile & web.,Berbayar,1,Pemula,40,4.88,27190,51
,,,195,Belajar Fundamental Aplikasi Flutter,"Pelajari komponen fundamental Flutter berdasarkan teknik yang digunakan industri mulai dari state management, API, database, sampai testing.",Berbayar,4,Menengah,90,4.83,4836,101
,,,480,Belajar Pengembangan Aplikasi Flutter Intermediate,"Tingkatkan pengalaman pengguna dengan mempelajari Advanced Navigation, Media, Localization, Flutter Desktop, Animation, dan Location.",Berbayar,2,Mahir,80,4.84,1268,93
,,,169,Belajar Prinsip Pemrograman SOLID,Pelajari kelima prinsip desain yang merupakan pedoman untuk rancangan kode yang baik pada pemrograman berorientasi objek (OOP).,Gratis,4,Menengah,15,4.87,42090,41
,,,199,Menjadi Flutter Developer Expert,"Pelajari bagaimana membuat aplikasi yang scalable dengan Clean Architecture, TDD, CI, Modularization, dan Reactive Programming.",Berbayar,3,Profesional,85,4.85,2450,93
58,React Developer,Kurikulum lengkap yang didesain oleh tim expert Dicoding bersama para praktisi industri. Siswa dipersiapkan untuk menjadi seorang React Developer berstandar global.,123,Belajar Dasar Pemrograman Web,Pelajari komponen-komponen dasar HTML dan CSS yang merupakan fondasi utama untuk menjadi front-end web developer.,Berbayar,0,Dasar,45,4.87,201224,131
,,,256,Belajar Dasar Pemrograman JavaScript,"Pelajari dasar JavaScript, dari fundamental, sintaks dan fitur ES6, hingga konsep automation test menggunakan framework populer.",Berbayar,0,Dasar,46,4.86,187845,111
,,,315,Belajar Membuat Front-End Web untuk Pemula,"Pelajari materi mengenai DOM manipulation, Event, dan Web Storage untuk meningkatkan fungsionalitas dan interaktifitas pada website Anda.",Berbayar,1,Pemula,45,4.87,121238,69
,,,403,Belajar Membuat Aplikasi Web dengan React,"Pelajari kemampuan dasar dalam membuat aplikasi React seperti element, component, props, event handling, dan state.",Berbayar,1,Pemula,35,4.9,26275,56
,,,413,Belajar Fundamental Aplikasi Web dengan React,"Pelajari penerapan validasi props, client routing, transaksi RESTful API, hingga React Hooks sebagai fondasi dalam membangun aplikasi React.",Berbayar,4,Menengah,55,4.92,3146,66
,,,418,Menjadi React Web Developer Expert,"Pelajari kaidah penulisan kode, state management dengan Redux, testing, hingga deployment dengan CI/CD pada pengembangan aplikasi React-mu.",Berbayar,2,Mahir,70,4.91,2107,103
Non Learning Path,,,313,Belajar Membuat Augmented Reality dengan Lens Studio,"Pelajari cara membuat augmented reality di Snapchat dengan teknik seperti post effect, segmentation, face effect, hingga visual scripting.",Gratis,1,Pemula,20,4.88,15282,56
,,,32,Belajar Membangun LINE Chatbot,Belajar membuat chatbot yang menarik pada platform LINE dengan menggunakan fitur-fitur dari LINE Messaging API.,Berbayar,1,Pemula,20,4.89,15508,26
,,,153,Belajar Membangun LINE Front-end Framework (LIFF),Belajar membuat Front-end Framework dari LINE yang memungkinkan aplikasi dan game berbasis web Anda dapat berjalan di dalam platform LINE.,Berbayar,1,Pemula,15,4.93,5961,28
,,,237,Memulai Dasar Pemrograman untuk Menjadi Pengembang Software,Pelajari langkah menjadi pengembang software dari tahapan analisis dan perencanaan sampai modifikasi perangkat lunak beserta dokumentasi.,Berbayar,0,Dasar,9,4.88,49250,73
,,,281,Simulasi Ujian Associate Cloud Engineer,Latihan ujian sebagai persiapan pengambilan ujian sertifikasi Associate Cloud Engineer pada program Google Developers Certification.,Berbayar,5,Kompetensi Sertifikasi,25,Kelas simulasi sertifikasi tidak punya rating kelas,8772,5
,,,287,Simulasi Ujian Associate Android Developer,Latihan ujian sebagai persiapan pengambilan ujian sertifikasi Associate Android Developer pada program Google Developers Certification.,Berbayar,5,Kompetensi Sertifikasi,40,,3988,15
,,,312,Simulasi Ujian TensorFlow Developer Certificate,Latihan ujian sebagai persiapan pengambilan ujian sertifikasi TensorFlow Developer Certificate pada program Google Developers Certification.,Berbayar,5,Kompetensi Sertifikasi,25,,8721,6
,,,317,Belajar Dasar Git dengan GitHub,"Pelajari cara mengelola data atau kode menggunakan Git dengan GitHub, mulai dari dasar-dasar Git hingga berkolaborasi dengan tim.",Berbayar,0,Dasar,15,4.89,39388,78
,,,335,Belajar Dasar UX Design,"Belajar membuat User Experience yang menarik & menyenangkan menggunakan Design Thinking, mulai dari mencari masalah hingga membuat solusi.",Berbayar,0,Dasar,36,4.89,25221,94
,,,445,Belajar Membuat Aplikasi Android dengan Jetpack Compose,"Saatnya mendesain UI dengan lebih mudah cepat dan mudah dengan menggunakan Jetpack Compose, cara modern untuk membuat layout di Android.",Berbayar,2,Mahir,50,4.85,3856,80
,,,505,Simulasi Ujian Pendidik Level 1 (Google Certified Educator Level 1 - Indonesian),Latihan ujian sebagai persiapan pengambilan ujian sertifikasi Pendidik Level 1 (GCE Level 1) pada program sertifikasi Google for Education.,Gratis,5,Kompetensi Sertifikasi,19,Kelas simulasi sertifikasi tidak punya rating kelas,5942,8
,,,545,Simulasi Ujian Pendidik Level 2 (Google Certified Educator Level 2 - Indonesian),Latihan ujian sebagai persiapan pengambilan ujian sertifikasi Pendidik Level 2 (GCE Level 2) pada program sertifikasi Google for Education.,Gratis,5,Kompetensi Sertifikasi,19,,621,8
,,,550,Simulasi Ujian Penilaian Keterampilan Pelatih (Trainer Skills Assessment - Indonesian),Latihan ujian sebagai persiapan pengambilan ujian Penilaian Keterampilan Pelatih pada program Pelatih Besertifikasi Google for Education.,Gratis,5,Kompetensi Sertifikasi,10,,617,7
,,,570,Belajar Dasar Manajemen Proyek,"Mempelajari dasar manajemen proyek, siklus dan metodologi manajemen proyek, hingga mengejar karir manajemen proyek.",Berbayar,0,Dasar,11,4.86,20911,38
,,,580,Belajar Pemrograman Fungsional dengan Haskell,"Perdalam kemampuan pemrograman fungsional dengan Haskell melalui teknik list comprehension, pattern matching, hingga higher order functions.",Berbayar,1,Pemula,20,4.92,570,65
,,,605,Memulai Pemrograman dengan Haskell,"Belajar pemrograman Haskell yang merupakan bahasa fungsional murni dan didesain untuk pembelajaran, riset, dan aplikasi industri.",Berbayar,0,Dasar,20,4.87,7426,61
,,,620,Belajar Pemrograman Prosedural dengan Python,Pelajari konsep pemrograman prosedural dalam menyusun program Python untuk pemecahan masalah berdasarkan aksi yang terstruktur.,Berbayar,1,Pemula,33,4.84,3842,80
,,,653,Belajar Dasar AI,Kelas ini memberikan pemahaman terkait dasar-dasar Artificial Intelligence dan subbidang AI mencakup Machine Learning serta Deep Learning.,Berbayar,0,Dasar,10,4.87,102251,39
,,,658,Belajar Penerapan Machine Learning dengan Google Cloud,Pelajari penerapan machine learning di Google Cloud mulai dari mengembangkan model hingga membangun aplikasi machine learning.,Berbayar,2,Mahir,40,4.81,3072,54
,,,663,Belajar Penerapan Machine Learning untuk Android,"Kembangkan keterampilan integrasi Machine Learning di Android dengan memanfaatkan ML Kit, TensorFlow Lite, MediaPipe, dan Firebase ML.",Berbayar,2,Mahir,60,4.91,2801,60
,,,697,Belajar Strategi Pengembangan Diri,"Jelajahi potensi diri, hadapi tantangan dengan keberanian, dan raih kesuksesan yang bermakna melalui pengembangan diri.",Berbayar,0,Dasar,12,4.9,4676,37
,,,698,Dev Certification for Machine Learning with Tensorflow (DCML) Preparation,Preparation course for taking the Dev Certification for Machine Learning with Tensorflow (DCML) by the dev.cert program.,Berbayar,5,Kompetensi Sertifikasi,25,Kelas simulasi sertifikasi tidak punya rating kelas,430,5
,,,703,Dev Certification for Android (DCA) Preparation,Preparation course for taking the Dev Certification for Android (DCA) by the dev.id certification (dev.cert) program.,Berbayar,5,Kompetensi Sertifikasi,40,,737,14